Temperature,Vibration,Current,RPM,Status
31.28,0.61,1.73,1778,Healthy
49.52,3.55,2.73,1230,Fault
37.43,1.92,3.61,1296,Fault
58.92,3.03,0.59,1042,Fault
62.7,0.47,0.56,997,Fault
31.64,3.72,3.79,1223,Fault
43.23,3.72,1.28,897,Fault
29.08,2.52,3.27,809,Fault
76.88,1.55,4.46,1286,Fault
33.03,1.83,2.28,1287,Warning
49.17,2.52,2.67,1006,Fault
44.97,2.16,3.46,1232,Fault
64.57,3.06,1.9,1284,Fault
54.69,0.59,2.12,848,Warning
44.43,2.67,1.21,1016,Fault
59.82,2.71,1.82,1107,Fault
47.31,2.15,4.11,859,Fault
40.31,3.71,3.63,1435,Fault
55.42,3.37,1.15,1545,Fault
41.44,0.51,0.73,1009,Healthy
47.74,0.83,4.32,1073,Fault
49.58,3.05,2.15,1689,Fault
55.79,2.61,2.67,1644,Fault
74.45,3.84,0.99,1667,Fault
70.85,3.42,0.56,1293,Fault
54.28,2.87,1.19,1245,Fault
70.03,3.77,3.97,1525,Fault
43.14,2.76,1.31,1732,Fault
58.8,0.79,2.26,854,Warning
25.3,1.92,2.38,1406,Warning
35.53,2.93,1.05,1659,Fault
39.57,2.6,1.9,1199,Fault
43.46,3.48,2.12,1326,Fault
79.03,0.82,4.39,1029,Fault
41.37,1.7,1.07,1226,Warning
61.16,0.89,4.36,1227,Fault
54.31,2.81,2.5,1054,Fault
58.04,0.93,3.66,1106,Fault
25.84,0.22,2.42,1008,Warning
25.09,0.84,1.41,1010,Healthy
46.91,2.37,4.26,1467,Fault
37.83,1.55,0.51,1374,Warning
26.99,1.76,4.06,1000,Fault
69.13,0.76,1.67,819,Fault
52.91,0.64,3.92,956,Fault
44.67,2.41,3.05,1748,Fault
35.89,2.9,2.21,1739,Fault
67.3,2.8,1.4,1344,Fault
75.7,1.81,2.69,1719,Fault
26.89,0.54,2.16,1483,Warning
72.02,1.96,3.3,1488,Fault
37.77,1.51,0.91,810,Warning
65.55,0.99,1.12,813,Fault
63.21,1.93,1.03,1313,Fault
53.07,2.89,3.62,1774,Fault
37.44,2.12,4.35,1019,Fault
76.92,0.72,4.49,879,Fault
52.93,0.43,1.24,877,Warning
65.84,0.76,4.22,1534,Fault
41.06,3.05,3.78,826,Fault
42.84,0.63,1.84,1754,Healthy
37.78,0.46,0.5,1658,Healthy
73.44,1.27,3.34,908,Fault
27.24,2.51,1.18,909,Fault
70.63,3.99,1.8,1276,Fault
77.31,2.37,2.87,1265,Fault
78.46,2.28,4.28,1559,Fault
62.52,2.48,1.74,1192,Fault
64.94,2.31,0.82,1261,Fault
65.3,2.89,2.07,1541,Fault
43.12,2.98,2.62,1663,Fault
30.76,0.57,4.42,1332,Fault
44.21,2.7,4.2,844,Fault
59.88,3.62,1.67,811,Fault
78.27,1.94,1.24,1290,Fault
28.62,1.81,3.21,848,Fault
41.77,0.45,0.67,1353,Healthy
27.61,3.73,2.47,1671,Fault
47.29,1.5,0.71,1403,Warning
32.53,0.52,0.62,1442,Healthy
57.01,2.01,3.02,1479,Fault
59.79,0.14,3.25,816,Fault
60.81,0.57,4.38,992,Fault
62.71,2.54,2.49,1309,Fault
63.28,0.46,2.4,1202,Fault
52.72,2.68,3.47,1499,Fault
52.96,3.72,4.17,1172,Fault
50.09,2.49,2.43,821,Warning
52.42,1.62,1.15,894,Warning
34.82,1.88,3.83,1026,Fault
36.2,1.08,2.0,1356,Warning
76.18,1.98,0.96,1577,Fault
67.05,1.77,3.37,1052,Fault
65.75,1.99,4.28,1542,Fault
65.02,1.33,3.59,1329,Fault
62.09,0.52,3.06,1040,Fault
37.05,0.94,0.51,1422,Healthy
49.49,3.6,4.11,1140,Fault
45.73,2.33,3.19,1782,Fault
70.53,1.12,1.34,853,Fault
55.61,0.84,1.52,1459,Warning
28.63,1.06,3.98,1702,Fault
69.95,2.54,0.56,1155,Fault
36.13,2.86,2.16,1421,Fault
64.94,1.4,2.05,822,Fault
28.57,3.42,2.64,898,Fault
32.08,3.85,1.97,1723,Fault
33.99,3.84,3.33,1105,Fault
49.97,3.29,1.67,895,Fault
60.01,2.79,4.2,1240,Fault
30.02,0.46,3.45,1422,Fault
68.3,2.43,0.6,1065,Fault
65.07,0.62,1.56,1766,Fault
36.77,2.15,2.56,1649,Warning
53.21,0.63,2.97,1073,Warning
51.5,0.52,3.88,1429,Fault
25.61,0.85,1.86,1161,Healthy
43.35,0.62,0.82,1339,Healthy
25.45,2.08,2.94,1417,Warning
31.47,1.43,3.2,1305,Fault
39.19,2.66,0.59,1358,Fault
47.63,2.97,1.28,1128,Fault
64.41,2.88,1.35,1648,Fault
39.16,1.27,3.46,1758,Fault
64.26,3.17,3.83,1407,Fault
38.17,2.17,4.48,1164,Fault
37.67,2.61,0.95,1628,Fault
27.13,3.07,1.59,1207,Fault
34.87,1.87,4.03,1092,Fault
74.83,2.03,3.12,1178,Fault
47.4,3.71,4.15,1662,Fault
45.28,0.81,1.13,1060,Warning
30.94,3.1,2.54,1428,Fault
26.2,1.19,1.19,1753,Warning
40.41,2.5,2.51,1111,Fault
53.65,0.73,2.22,1136,Warning
37.04,0.47,2.3,1000,Warning
61.05,2.51,3.32,1195,Fault
51.51,3.47,4.1,1775,Fault
49.67,0.5,0.92,1298,Warning
30.33,2.79,3.97,1693,Fault
56.0,3.54,1.2,1625,Fault
71.55,1.82,3.43,1548,Fault
79.05,0.83,0.9,1029,Fault
51.73,1.14,1.81,1184,Warning
59.19,1.42,0.53,1485,Warning
47.24,0.88,3.59,837,Fault
51.98,3.13,4.25,897,Fault
32.88,1.11,1.44,1423,Warning
64.13,0.71,1.57,1289,Fault
77.31,1.79,3.46,1100,Fault
56.19,1.11,4.05,1483,Fault
64.4,2.36,4.18,1027,Fault
67.33,1.88,1.79,1238,Fault
26.99,2.88,0.71,1723,Fault
43.53,2.94,1.24,1098,Fault
42.55,3.65,1.64,1014,Fault
78.61,2.05,3.47,1114,Fault
45.24,1.53,1.15,1476,Warning
35.89,1.96,2.72,1089,Warning
34.42,3.84,4.22,1430,Fault
46.41,1.97,1.02,1639,Warning
63.81,0.75,1.57,1127,Fault
35.54,1.39,0.63,1433,Warning
27.86,3.38,1.81,1477,Fault
54.32,0.66,3.29,1390,Fault
41.55,1.21,3.16,1082,Fault
41.22,3.52,2.05,1578,Fault
71.03,2.23,3.9,1036,Fault
29.73,3.71,0.88,840,Fault
72.94,1.07,4.0,1488,Fault
41.5,0.6,3.87,1095,Fault
37.46,3.64,3.35,1128,Fault
49.09,0.35,4.32,1354,Fault
44.94,3.6,2.58,1215,Fault
38.58,0.36,2.08,1176,Warning
76.49,3.93,1.82,909,Fault
76.29,1.02,1.1,1177,Fault
32.55,3.22,2.42,1240,Fault
30.5,1.5,1.71,1578,Warning
41.87,1.09,4.09,1728,Fault
39.78,0.72,3.51,1080,Fault
28.21,2.15,1.4,1472,Warning
48.28,3.55,0.88,1732,Fault
47.76,0.71,1.73,943,Warning
76.4,0.83,1.3,1192,Fault
38.88,3.6,2.85,1249,Fault
29.16,1.09,3.73,1650,Fault
32.63,2.5,1.0,1449,Fault
70.42,3.55,1.6,1061,Fault
47.35,3.85,0.97,1411,Fault
65.43,1.11,1.88,1072,Fault
54.42,3.08,3.44,1496,Fault
42.06,2.36,0.86,1189,Warning
25.34,2.65,4.33,836,Fault
26.28,3.84,0.69,1472,Fault
47.78,3.24,1.71,1070,Fault
66.5,2.06,3.55,1413,Fault
64.37,3.28,2.69,1324,Fault
59.91,1.71,3.14,1348,Fault
64.35,3.44,3.88,997,Fault
38.82,1.26,0.82,1785,Warning
66.36,3.68,0.53,1291,Fault
52.99,0.74,3.11,1141,Fault
52.62,3.23,4.2,828,Fault
60.64,2.8,4.41,1177,Fault
35.57,3.26,3.71,1639,Fault
54.01,3.46,0.73,910,Fault
64.51,1.68,2.37,1046,Fault
51.67,1.83,2.5,1468,Warning
64.24,1.2,4.16,1098,Fault
27.26,0.52,1.71,985,Healthy
42.06,0.54,3.26,1067,Fault
47.17,0.46,3.2,977,Fault
67.15,0.66,0.66,1764,Fault
69.84,2.61,0.79,1182,Fault
73.76,2.49,1.95,1574,Fault
47.54,2.76,3.02,1355,Fault
76.14,0.61,2.14,1091,Fault
25.91,2.66,4.15,1336,Fault
45.01,3.96,1.14,1791,Fault
63.96,2.85,0.97,802,Fault
58.63,2.77,0.96,1414,Fault
64.0,0.63,1.16,1181,Fault
39.43,2.02,1.22,946,Warning
42.67,1.76,1.91,920,Warning
44.98,2.54,0.6,811,Fault
33.22,1.63,2.37,1666,Warning
77.68,0.24,4.01,1409,Fault
66.15,2.4,1.92,1410,Fault
70.88,0.64,4.24,1225,Fault
65.84,1.18,2.95,845,Fault
61.3,3.18,3.79,1647,Fault
77.92,1.42,3.76,1606,Fault
35.86,1.28,2.09,1488,Warning
28.6,0.3,2.62,1268,Warning
48.41,3.92,2.35,1738,Fault
31.41,1.61,3.15,1425,Fault
72.5,0.23,1.19,1499,Fault
66.64,2.16,1.91,1231,Fault
28.79,2.03,3.44,1232,Fault
38.19,1.71,3.11,1590,Fault
29.45,0.49,1.16,1284,Healthy
47.05,0.5,2.93,1122,Warning
78.29,0.47,2.51,1796,Fault
74.53,2.54,0.57,1135,Fault
46.69,1.48,2.1,1071,Warning
77.96,2.12,0.82,1247,Fault
62.52,1.45,2.75,1407,Fault
38.06,1.55,4.44,1376,Fault
65.44,1.82,4.35,806,Fault
76.71,2.15,2.4,1198,Fault
79.66,1.15,1.98,852,Fault
69.27,2.22,4.1,1562,Fault
35.69,3.23,1.88,1479,Fault
73.3,1.83,2.87,1780,Fault
50.98,0.74,3.92,933,Fault
42.91,3.29,3.72,1685,Fault
52.69,1.83,4.11,850,Fault
31.78,0.38,4.2,1355,Fault
75.63,0.9,3.46,950,Fault
75.7,3.46,4.11,1280,Fault
27.16,1.84,2.46,1285,Warning
77.17,2.48,4.25,1189,Fault
64.49,2.69,3.14,1667,Fault
70.61,3.26,3.4,1073,Fault
27.52,3.51,3.99,1655,Fault
55.45,0.53,2.77,1218,Warning
31.84,2.75,1.97,1718,Fault
37.36,3.92,0.62,1440,Fault
71.81,3.72,3.84,1108,Fault
55.99,3.93,0.84,1522,Fault
50.31,3.42,2.12,1488,Fault
43.64,2.2,2.21,972,Warning
46.02,3.12,2.29,997,Fault
63.89,3.01,3.27,1446,Fault
43.85,1.57,3.26,977,Fault
27.33,1.84,2.01,1797,Warning
65.66,2.46,3.51,1637,Fault
53.51,3.43,2.95,1502,Fault
36.95,0.37,2.73,1781,Warning
37.64,0.37,2.77,1039,Warning
57.45,3.77,3.2,1595,Fault
41.49,2.3,3.19,876,Fault
65.89,0.33,1.86,1588,Fault
36.21,1.35,1.45,1010,Warning
77.66,2.47,3.17,1317,Fault
59.15,1.05,4.38,1055,Fault
50.47,0.17,3.21,1535,Fault
67.28,3.19,2.39,883,Fault
66.0,2.51,1.64,1633,Fault
73.65,1.15,2.83,1660,Fault
76.75,3.5,1.49,1464,Fault
46.47,0.74,3.4,1382,Fault
58.57,1.46,2.1,1714,Warning
32.72,3.43,1.54,1114,Fault
62.65,2.95,3.46,908,Fault
28.26,2.65,4.33,1682,Fault
70.44,3.15,4.25,1293,Fault
45.37,3.62,4.03,935,Fault
76.83,3.18,4.0,1203,Fault
42.75,1.18,4.29,1195,Fault
43.09,0.95,2.66,1466,Warning
67.16,2.07,3.6,1140,Fault
28.97,0.34,3.96,1771,Fault
47.26,0.34,2.46,1704,Warning
36.57,0.63,3.77,1185,Fault
75.31,2.85,1.09,1321,Fault
67.76,1.38,0.84,1210,Fault
58.94,0.13,1.45,1274,Warning
62.09,2.34,1.7,1587,Fault
79.18,1.34,0.97,906,Fault
68.87,0.69,3.75,1380,Fault
40.4,2.21,0.84,1679,Warning
77.13,0.93,2.2,1622,Fault
34.35,1.01,0.71,1713,Warning
79.48,3.01,2.7,1520,Fault
45.96,3.75,3.11,1339,Fault
32.4,0.13,0.96,1644,Healthy
66.4,1.73,0.97,916,Fault
31.22,2.45,1.93,840,Warning
50.29,1.02,0.76,1005,Warning
30.79,2.6,0.81,863,Fault
51.83,3.85,3.81,1076,Fault
26.76,1.39,0.75,1423,Warning
36.51,1.64,1.72,1544,Warning
72.37,3.15,1.5,1210,Fault
25.03,1.68,2.51,1084,Warning
38.03,3.96,3.09,1295,Fault
41.5,1.75,0.96,1436,Warning
61.88,3.56,2.52,1182,Fault
52.77,0.96,3.33,1398,Fault
28.99,3.83,0.92,1505,Fault
68.48,0.99,2.18,1722,Fault
53.26,3.23,2.69,1093,Fault
73.93,2.72,2.89,805,Fault
48.53,3.02,3.68,1028,Fault
26.87,0.76,2.22,1250,Warning
62.99,1.76,4.1,1173,Fault
59.43,1.6,0.67,1388,Warning
58.2,2.13,3.67,1004,Fault
40.72,0.37,4.41,1347,Fault
36.05,2.71,2.04,1743,Fault
39.16,2.8,0.77,1694,Fault
72.89,3.15,2.86,1792,Fault
64.16,1.44,0.52,1451,Fault
48.39,0.14,2.56,1510,Warning
45.29,1.83,1.03,1396,Warning
73.29,3.04,2.44,1684,Fault
38.99,2.01,0.51,1034,Warning
50.17,3.76,3.02,1731,Fault
29.62,1.32,2.8,1135,Warning
51.42,3.76,3.33,910,Fault
59.09,0.31,4.08,915,Fault
78.12,1.67,2.96,1178,Fault
69.56,1.9,3.48,1434,Fault
38.46,2.9,1.47,1467,Fault
50.76,1.43,2.81,1254,Warning
76.19,0.95,2.24,1120,Fault
46.12,1.43,2.09,1606,Warning
33.62,3.99,1.84,930,Fault
36.12,0.24,0.98,1639,Healthy
69.96,3.78,1.8,1390,Fault
46.32,3.3,2.35,1307,Fault
75.85,2.46,4.48,1481,Fault
31.11,0.58,3.94,1586,Fault
49.0,2.89,2.66,802,Fault
65.09,3.74,1.18,1694,Fault
54.43,3.22,4.46,1317,Fault
75.93,1.06,2.63,1565,Fault
53.55,0.85,1.39,1390,Warning
61.19,2.06,0.87,1193,Fault
37.66,3.44,0.6,1469,Fault
69.27,2.89,1.47,838,Fault
36.34,3.42,0.84,921,Fault
37.49,1.77,3.87,978,Fault
67.43,1.74,3.83,1593,Fault
52.47,1.57,0.93,825,Warning
65.07,2.16,3.46,1363,Fault
52.86,1.47,1.25,1352,Warning
53.27,1.12,3.56,1574,Fault
26.45,3.57,3.91,1726,Fault
59.75,0.61,1.78,1061,Warning
57.95,3.77,4.09,1355,Fault
36.81,3.7,4.18,1143,Fault
47.08,1.96,2.81,1219,Warning
28.58,2.54,1.57,1039,Fault
42.93,3.62,3.37,1267,Fault
29.64,0.89,1.03,1764,Healthy
65.19,3.1,4.06,1774,Fault
45.54,3.35,3.09,892,Fault
53.52,2.12,0.77,1303,Warning
34.87,0.85,4.08,1132,Fault
41.03,3.0,1.61,1229,Fault
28.21,3.09,3.2,961,Fault
74.5,2.21,3.15,1001,Fault
65.3,1.8,4.0,1575,Fault
42.73,2.61,4.1,1386,Fault
62.37,3.25,2.37,1603,Fault
67.19,3.86,4.36,1116,Fault
76.51,3.11,0.54,1724,Fault
55.45,3.32,0.98,1515,Fault
78.87,0.41,0.99,1404,Fault
38.46,2.59,1.87,873,Fault
34.82,1.76,4.36,1095,Fault
46.72,2.45,2.87,1338,Warning
79.35,0.56,3.16,925,Fault
67.85,3.32,3.32,1696,Fault
52.4,2.94,2.81,1261,Fault
49.67,3.14,1.76,920,Fault
51.78,3.04,4.19,918,Fault
69.24,1.53,2.22,1636,Fault
70.67,1.66,3.68,820,Fault
80.0,2.29,1.06,1797,Fault
59.7,1.77,2.1,1154,Warning
27.03,0.92,2.33,904,Warning
33.14,1.56,2.07,892,Warning
30.19,3.03,4.11,1056,Fault
27.65,1.82,2.26,1200,Warning
58.43,3.59,3.0,1431,Fault
49.7,2.7,3.8,822,Fault
40.3,1.39,2.35,1442,Warning
50.08,0.71,0.5,1157,Warning
51.44,2.53,3.45,1081,Fault
52.58,0.26,4.25,1335,Fault
64.04,1.62,3.03,1569,Fault
28.25,1.15,0.98,892,Warning
77.28,2.47,0.84,1217,Fault
52.98,0.49,2.79,1184,Warning
79.7,0.34,1.33,1496,Fault
75.61,0.12,2.45,1538,Fault
33.65,1.55,1.38,1462,Warning
61.0,2.58,1.91,1106,Fault
46.1,2.43,3.09,1650,Fault
69.33,2.86,3.65,1355,Fault
60.7,3.5,3.36,1550,Fault
58.43,1.17,3.52,1742,Fault
43.04,3.05,2.63,920,Fault
70.49,2.07,0.59,1782,Fault
63.95,2.97,4.28,1242,Fault
51.77,2.18,3.29,1591,Fault
66.26,3.86,3.14,1261,Fault
31.32,1.1,4.14,1358,Fault
60.81,3.31,3.73,853,Fault
79.9,3.37,3.31,1479,Fault
63.66,3.51,4.36,1252,Fault
62.01,0.82,3.6,1227,Fault
50.96,1.3,1.26,1550,Warning
51.6,1.93,0.64,1724,Warning
75.63,1.37,1.39,1422,Fault
29.49,1.38,1.38,1406,Warning
62.14,1.22,0.83,1505,Fault
56.21,1.36,2.98,1668,Warning
40.31,2.95,3.46,1783,Fault
74.89,2.78,3.36,1540,Fault
43.83,1.72,4.05,1133,Fault
42.39,0.58,0.59,1744,Healthy
65.05,2.65,3.95,1723,Fault
34.85,3.17,1.8,1386,Fault
37.57,2.26,4.24,1667,Fault
54.74,0.84,2.89,1356,Warning
61.1,2.69,1.92,955,Fault
45.47,2.44,2.59,1655,Warning
72.34,0.83,1.83,987,Fault
39.22,0.8,1.2,819,Healthy
53.79,1.16,2.48,1497,Warning
64.49,0.28,2.71,1430,Fault
50.48,2.87,2.37,1659,Fault
31.33,3.39,2.06,841,Fault
64.04,2.31,1.73,1782,Fault
78.8,2.7,1.85,1273,Fault
30.65,2.55,0.56,1409,Fault
62.77,2.27,3.16,958,Fault
50.73,3.83,1.71,1608,Fault
30.4,2.87,2.04,998,Fault
42.67,0.9,2.87,1612,Warning
58.12,2.96,2.2,839,Fault
59.96,2.98,3.63,1331,Fault
26.63,3.17,2.74,1486,Fault
44.5,2.7,2.22,1233,Fault
30.96,2.84,1.96,1799,Fault
59.17,3.87,0.57,1210,Fault
39.8,2.14,0.83,924,Warning
67.23,1.44,1.93,1075,Fault
77.47,1.38,4.33,945,Fault
60.27,0.74,1.06,1375,Fault
33.2,3.2,0.66,1143,Fault
53.74,3.75,2.71,959,Fault
67.48,3.7,0.83,1611,Fault
28.53,1.53,2.56,1409,Warning
74.74,2.16,1.65,1597,Fault
50.17,2.63,2.7,1543,Fault
26.41,0.87,1.38,983,Healthy
62.43,3.62,3.66,1490,Fault
31.93,2.16,1.61,1657,Warning
33.59,2.31,2.83,974,Warning
74.58,1.58,1.33,1492,Fault
40.62,1.39,4.33,940,Fault
32.2,0.37,2.95,1297,Warning
77.7,0.74,3.04,1170,Fault
63.77,0.71,1.47,1574,Fault
37.87,2.06,2.85,1575,Warning
39.58,3.53,1.4,1024,Fault
50.46,0.18,1.15,881,Warning
60.69,1.05,3.15,1798,Fault
33.6,1.99,0.84,1774,Warning
31.41,1.47,1.62,1031,Warning
62.19,3.58,3.04,1562,Fault
76.52,2.15,0.81,1295,Fault
30.0,1.08,0.55,1088,Warning
42.92,1.97,4.45,905,Fault
30.74,2.24,1.11,877,Warning
73.74,3.01,3.13,1148,Fault
30.86,1.06,4.44,1656,Fault
