Temperature,Vibration,Current,RPM,Status
65.44,2.31,1.19,1426,Fault
48.24,2.94,0.53,896,Fault
44.15,2.24,2.35,1267,Warning
43.43,0.51,1.46,1475,Healthy
46.76,1.87,2.05,1482,Warning
70.7,1.36,3.13,1668,Fault
75.3,2.39,4.09,1546,Fault
59.34,2.77,1.0,1120,Fault
35.49,3.07,1.4,1523,Fault
43.38,2.67,3.07,1082,Fault
29.64,3.01,2.61,1349,Fault
61.36,3.71,3.36,1261,Fault
25.75,2.94,3.32,1487,Fault
28.96,0.35,1.3,1171,Healthy
74.3,1.37,3.35,1123,Fault
56.51,3.15,1.57,1612,Fault
54.76,3.98,3.83,1191,Fault
29.3,0.35,3.87,1529,Fault
32.02,1.02,1.64,1463,Warning
39.81,3.06,2.45,1645,Fault
34.91,2.76,0.79,1457,Fault
72.27,3.79,1.61,1097,Fault
57.9,3.34,3.78,1241,Fault
26.3,0.27,3.11,1171,Fault
48.34,1.72,2.86,1267,Warning
60.39,2.26,3.2,1153,Fault
34.73,2.08,3.19,1510,Fault
67.73,3.77,2.76,933,Fault
76.61,1.51,2.69,1031,Fault
65.52,2.29,4.06,894,Fault
73.5,3.22,2.05,912,Fault
26.08,2.56,4.24,1011,Fault
73.76,1.88,1.94,1690,Fault
67.6,2.64,3.09,1777,Fault
72.48,0.59,0.67,958,Fault
31.96,3.52,2.15,1180,Fault
78.37,1.11,2.5,1389,Fault
71.01,1.04,1.02,1414,Fault
34.52,3.92,4.25,1130,Fault
70.9,1.4,4.25,885,Fault
31.56,2.57,3.12,999,Fault
38.18,1.61,0.84,1377,Warning
57.83,1.93,1.78,1440,Warning
61.27,0.71,1.75,1789,Fault
55.79,3.43,0.76,1799,Fault
59.54,0.85,3.35,1185,Fault
61.69,1.74,0.63,1648,Fault
47.76,2.2,2.85,1385,Warning
77.59,1.91,2.0,1272,Fault
36.63,0.53,1.12,1628,Healthy
48.13,0.83,2.52,1671,Warning
31.53,1.89,3.78,1576,Fault
29.1,2.52,0.75,850,Fault
74.7,1.92,1.72,970,Fault
37.5,2.99,1.7,929,Fault
52.84,1.22,2.33,1056,Warning
26.31,0.9,1.7,1743,Healthy
50.99,2.2,4.34,1621,Fault
39.29,3.03,3.48,1706,Fault
79.14,1.19,2.13,1318,Fault
64.5,3.05,2.32,1246,Fault
69.41,3.37,2.73,1316,Fault
72.84,3.18,0.85,1264,Fault
49.96,1.61,1.02,1789,Warning
25.94,3.58,2.84,851,Fault
58.94,0.63,4.06,1221,Fault
33.21,3.09,4.23,1711,Fault
43.17,0.89,0.66,915,Healthy
39.15,3.96,4.04,1712,Fault
62.52,3.0,1.24,907,Fault
60.94,3.15,0.7,1219,Fault
46.66,0.28,3.23,861,Fault
55.91,0.31,2.32,1413,Warning
25.78,1.87,3.1,1563,Fault
39.93,3.49,2.55,1033,Fault
58.82,1.28,2.2,1753,Warning
28.15,2.06,2.98,1569,Warning
30.65,0.67,4.5,1566,Fault
53.9,0.28,1.18,1222,Warning
75.71,2.43,2.76,1513,Fault
78.46,0.36,0.69,1255,Fault
31.08,0.41,2.43,1282,Warning
62.57,2.71,2.61,1032,Fault
61.57,2.44,2.58,1515,Fault
30.88,1.48,2.08,1586,Warning
51.64,0.55,4.21,1136,Fault
73.25,2.54,2.43,1301,Fault
55.04,2.63,2.05,1560,Fault
41.75,2.72,3.67,1424,Fault
42.97,1.69,3.49,1187,Fault
29.83,0.44,2.67,1468,Warning
53.7,2.97,1.66,822,Fault
42.53,3.76,1.07,1106,Fault
29.66,1.4,0.95,1448,Warning
31.17,3.36,3.09,1226,Fault
79.52,1.42,2.26,1318,Fault
74.81,3.16,3.81,816,Fault
73.26,1.11,0.74,1419,Fault
71.91,2.28,2.74,1203,Fault
43.62,3.99,3.99,1258,Fault
73.73,3.27,0.68,1122,Fault
58.12,3.0,3.52,885,Fault
62.01,3.36,3.11,1211,Fault
63.09,1.66,3.94,1548,Fault
74.17,3.94,0.58,1449,Fault
79.68,3.04,2.45,1186,Fault
74.66,1.89,4.26,1236,Fault
25.06,2.5,1.23,1625,Fault
52.11,2.85,0.61,1044,Fault
75.55,2.93,0.89,952,Fault
61.05,1.46,4.39,1368,Fault
44.11,1.4,3.02,986,Fault
32.72,3.66,3.06,1275,Fault
67.14,2.17,3.38,897,Fault
70.83,3.74,1.15,1513,Fault
31.04,0.74,2.54,905,Warning
32.7,2.29,3.96,1437,Fault
29.21,2.46,4.47,1412,Fault
53.65,3.58,3.79,1454,Fault
30.46,3.64,1.11,1113,Fault
41.56,2.42,0.53,1029,Warning
70.2,1.56,3.04,975,Fault
47.4,3.32,0.64,1769,Fault
50.71,0.13,0.66,1491,Warning
58.07,0.59,4.25,1546,Fault
76.15,0.46,1.28,988,Fault
38.38,2.46,4.28,1460,Fault
38.48,2.51,1.92,1799,Fault
67.17,2.43,2.12,1563,Fault
74.66,1.93,2.6,974,Fault
50.88,0.32,2.38,1739,Warning
54.78,0.38,1.45,1672,Warning
64.25,2.95,2.38,951,Fault
49.41,3.47,3.37,1664,Fault
27.08,2.26,0.9,1034,Warning
52.6,1.7,4.15,877,Fault
54.0,3.42,0.95,1202,Fault
73.59,3.73,0.76,1299,Fault
68.34,0.41,4.31,874,Fault
50.4,0.22,3.5,1677,Fault
25.34,3.06,1.17,1210,Fault
74.92,0.4,4.41,1363,Fault
42.76,0.7,0.9,1778,Healthy
69.94,1.1,4.45,1735,Fault
75.46,1.77,1.09,1382,Fault
47.66,2.63,2.96,1532,Fault
56.66,1.55,3.86,1435,Fault
51.88,2.81,0.77,1035,Fault
63.19,3.38,0.52,964,Fault
35.31,3.34,1.21,1509,Fault
28.63,2.79,3.4,1547,Fault
75.88,3.93,1.03,1389,Fault
31.84,1.14,3.08,1142,Fault
54.54,3.9,4.41,1684,Fault
36.78,1.27,2.77,1337,Warning
46.1,1.51,1.21,1533,Warning
25.12,2.2,3.14,1431,Fault
48.63,0.54,3.92,1470,Fault
26.04,3.02,3.18,1400,Fault
34.51,1.33,2.83,835,Warning
76.31,0.98,2.09,1023,Fault
69.84,3.3,0.84,1263,Fault
74.77,0.34,0.58,1503,Fault
33.74,1.96,3.54,1731,Fault
26.43,2.92,3.71,948,Fault
56.83,2.0,1.03,1482,Warning
61.58,0.55,3.07,1386,Fault
26.83,0.63,0.9,1016,Healthy
77.12,3.06,4.16,1191,Fault
45.04,1.99,4.37,1337,Fault
71.8,3.56,2.34,1638,Fault
61.48,3.36,0.89,1520,Fault
26.69,3.83,0.73,971,Fault
48.86,3.99,2.18,1611,Fault
66.15,2.3,4.49,1513,Fault
68.41,2.91,1.95,1326,Fault
46.03,0.36,4.09,1395,Fault
57.74,2.97,1.32,1668,Fault
66.09,2.98,0.52,1657,Fault
45.85,1.21,1.15,1536,Warning
79.38,2.61,1.52,1286,Fault
76.46,2.54,4.32,1471,Fault
39.78,0.58,2.16,844,Warning
73.76,0.96,4.36,963,Fault
58.15,3.78,2.07,1457,Fault
28.94,3.26,2.98,1238,Fault
31.88,3.33,1.19,944,Fault
76.45,0.54,2.9,1506,Fault
76.65,3.23,1.04,1305,Fault
79.53,0.63,3.8,965,Fault
39.03,3.52,3.74,1740,Fault
37.28,0.42,2.2,845,Warning
79.36,0.32,2.14,1290,Fault
40.7,3.65,0.62,1560,Fault
66.96,1.9,2.14,842,Fault
36.15,0.7,1.71,1734,Healthy
30.85,2.51,3.95,989,Fault
42.15,2.28,1.26,818,Warning
27.7,2.3,1.96,1753,Warning
48.72,2.08,2.93,1587,Warning
71.16,1.04,1.16,1799,Fault
42.74,2.35,3.13,937,Fault
77.6,3.38,2.94,1506,Fault
36.94,1.49,0.63,1505,Warning
38.47,1.49,3.24,1706,Fault
41.33,0.1,3.45,1054,Fault
35.45,2.98,3.23,1583,Fault
66.93,1.56,2.71,952,Fault
57.33,2.3,2.27,1037,Warning
70.32,2.75,1.93,1710,Fault
39.19,0.41,1.16,1288,Healthy
40.69,3.51,4.07,920,Fault
62.49,1.26,4.12,860,Fault
53.79,1.39,4.25,1475,Fault
64.63,2.61,4.5,1535,Fault
46.83,1.07,0.6,1303,Warning
26.92,0.57,2.11,1462,Warning
34.32,1.56,0.95,1052,Warning
35.6,1.6,0.72,1234,Warning
54.82,3.72,2.0,1487,Fault
29.72,2.21,1.16,1115,Warning
62.0,2.37,3.71,927,Fault
77.04,0.14,1.44,1357,Fault
58.84,2.23,2.7,1750,Warning
31.35,3.87,2.38,1229,Fault
65.38,2.91,0.67,870,Fault
76.36,2.67,2.31,1479,Fault
55.65,0.64,1.05,890,Warning
54.02,0.33,3.59,1764,Fault
48.98,3.93,3.58,1703,Fault
30.21,3.08,4.21,1146,Fault
65.23,2.97,2.88,1484,Fault
55.73,0.93,1.64,1017,Warning
57.49,3.49,1.12,1506,Fault
46.19,0.71,3.42,1393,Fault
43.31,3.53,3.81,1760,Fault
38.67,0.72,1.22,1786,Healthy
73.18,2.14,2.03,1508,Fault
28.22,1.79,3.53,1617,Fault
42.62,0.43,3.79,1223,Fault
27.65,3.4,1.03,1723,Fault
72.58,3.57,3.76,1526,Fault
69.0,0.78,3.16,839,Fault
66.2,2.69,2.78,1711,Fault
66.45,0.77,3.46,1357,Fault
39.67,0.28,4.2,1243,Fault
58.88,3.73,4.31,858,Fault
61.18,1.43,2.48,1524,Fault
36.12,0.17,1.93,1072,Healthy
69.93,1.17,4.19,1049,Fault
54.99,3.38,0.62,877,Fault
35.24,3.79,2.8,1123,Fault
71.76,3.63,4.09,1491,Fault
51.13,3.18,2.33,1116,Fault
71.14,0.71,1.18,1186,Fault
66.11,0.83,2.45,986,Fault
32.43,0.25,0.53,1535,Healthy
55.04,0.31,4.48,1699,Fault
36.92,0.54,2.79,1195,Warning
25.74,1.25,1.22,1144,Warning
52.94,1.56,2.22,1416,Warning
46.5,2.59,2.89,1522,Fault
27.77,2.63,2.27,1128,Fault
58.15,3.58,1.1,991,Fault
50.41,1.34,3.45,1128,Fault
77.53,1.66,4.32,1579,Fault
41.12,0.14,1.11,988,Healthy
70.39,3.14,1.66,1446,Fault
69.56,3.85,1.19,1389,Fault
26.21,2.44,3.17,910,Fault
66.13,1.83,3.69,844,Fault
79.69,1.96,0.69,1689,Fault
41.23,1.73,3.94,1005,Fault
31.97,0.75,4.41,1459,Fault
58.24,0.87,2.85,1576,Warning
62.87,0.39,0.95,939,Fault
71.43,1.01,1.35,1498,Fault
69.55,0.99,4.12,1508,Fault
27.77,0.54,2.78,1350,Warning
72.07,1.68,0.73,1567,Fault
61.43,1.21,3.57,1205,Fault
55.17,2.47,1.75,1768,Warning
77.67,3.35,0.57,1088,Fault
71.08,2.77,2.38,1425,Fault
70.29,3.3,1.04,1587,Fault
75.31,3.81,1.46,1648,Fault
36.63,0.67,1.38,1571,Healthy
61.54,0.38,0.54,1477,Fault
71.84,3.73,3.21,1254,Fault
26.16,3.47,4.36,1726,Fault
64.49,3.86,3.79,1236,Fault
63.44,2.56,4.45,1258,Fault
35.87,0.32,2.7,1608,Warning
31.83,1.89,3.2,1030,Fault
75.0,2.3,1.4,1139,Fault
32.43,0.47,3.24,1131,Fault
71.46,2.78,4.05,1054,Fault
43.48,3.28,3.72,1222,Fault
71.66,3.7,2.86,1186,Fault
27.29,1.11,2.1,1127,Warning
43.81,0.62,1.28,1397,Healthy
50.49,2.79,2.45,919,Fault
79.22,1.21,4.15,1065,Fault
31.26,2.58,4.04,1261,Fault
25.27,0.3,4.11,1249,Fault
54.49,3.52,1.5,920,Fault
77.7,3.33,3.91,835,Fault
57.86,2.45,2.71,1383,Warning
73.39,0.7,0.75,1442,Fault
32.6,3.09,2.58,1447,Fault
69.99,0.44,0.73,927,Fault
51.23,0.25,1.8,1586,Warning
45.21,3.39,2.36,1559,Fault
52.97,1.82,1.83,1409,Warning
59.94,0.22,4.46,952,Fault
30.85,0.29,2.79,1147,Warning
70.96,3.61,0.9,836,Fault
25.25,0.88,3.8,1297,Fault
59.36,0.19,0.99,993,Warning
44.92,3.66,3.51,1290,Fault
31.17,0.89,2.6,1545,Warning
57.36,3.4,1.67,1091,Fault
68.77,3.94,4.2,1561,Fault
56.31,2.81,1.72,948,Fault
51.96,2.11,1.47,1211,Warning
68.48,2.33,1.63,1279,Fault
63.82,3.51,3.28,1159,Fault
36.74,1.49,2.42,1309,Warning
55.13,3.96,3.9,842,Fault
33.02,3.19,2.48,1722,Fault
38.89,0.21,1.63,1617,Healthy
68.31,1.62,1.25,897,Fault
72.45,1.5,1.7,1068,Fault
41.02,1.15,0.97,1528,Warning
60.76,3.1,3.83,1147,Fault
52.76,1.0,2.19,1459,Warning
25.15,0.36,0.79,1462,Healthy
36.41,0.95,1.0,909,Healthy
39.82,2.91,2.59,1082,Fault
52.18,2.5,4.4,1346,Fault
34.41,1.67,4.11,1587,Fault
49.73,1.87,4.4,961,Fault
43.77,0.77,3.36,1312,Fault
49.93,1.21,1.8,1417,Warning
62.76,1.13,1.83,1314,Fault
55.26,2.34,2.05,1018,Warning
35.29,3.74,4.05,1468,Fault
63.75,0.52,1.34,1712,Fault
31.45,0.19,1.63,1256,Healthy
55.72,3.51,1.12,1280,Fault
50.33,1.99,1.89,1473,Warning
50.69,3.55,2.09,933,Fault
70.87,0.97,1.94,856,Fault
26.7,3.52,3.08,815,Fault
38.74,0.73,0.8,1733,Healthy
42.3,2.82,1.29,1552,Fault
28.4,3.43,2.8,860,Fault
29.11,2.21,0.83,1244,Warning
75.12,3.82,4.27,1225,Fault
27.12,1.04,3.64,1494,Fault
45.89,1.99,1.67,1310,Warning
62.37,1.49,1.47,1172,Fault
42.74,1.56,0.52,1761,Warning
50.74,2.45,2.12,1084,Warning
38.98,0.55,0.98,1232,Healthy
67.7,0.82,3.85,1301,Fault
60.47,3.7,3.53,1236,Fault
29.25,1.08,3.42,1418,Fault
71.25,1.51,3.95,1326,Fault
61.02,3.93,2.53,1005,Fault
71.57,1.34,1.89,1508,Fault
41.36,1.03,1.15,1223,Warning
35.91,3.07,1.13,816,Fault
78.17,3.9,2.06,1661,Fault
62.07,1.87,2.18,1073,Fault
30.02,2.13,0.93,1445,Warning
63.91,3.63,4.33,868,Fault
49.79,1.73,2.88,1395,Warning
58.3,2.78,3.23,1516,Fault
54.76,3.81,1.98,1401,Fault
74.46,2.73,4.35,989,Fault
71.63,3.65,2.09,1251,Fault
31.69,3.24,3.52,1013,Fault
62.47,1.54,2.31,1243,Fault
29.55,0.41,3.8,1150,Fault
43.86,3.23,2.64,1370,Fault
61.97,0.69,4.32,1031,Fault
59.56,1.9,4.2,1212,Fault
40.17,2.63,3.82,1058,Fault
67.22,1.74,1.8,1385,Fault
65.84,1.62,2.72,1230,Fault
77.01,1.82,1.45,1137,Fault
64.98,3.37,1.97,1721,Fault
32.18,2.03,3.75,844,Fault
44.5,0.73,2.33,1009,Warning
70.03,0.32,3.54,805,Fault
26.06,0.3,4.17,1726,Fault
40.82,2.85,4.43,1081,Fault
42.71,2.05,3.47,925,Fault
75.5,3.02,3.79,1394,Fault
57.81,3.75,1.89,1218,Fault
56.02,1.23,0.62,1398,Warning
59.77,1.84,1.2,918,Warning
71.34,1.6,4.11,1255,Fault
28.87,0.2,1.96,1227,Healthy
32.74,3.06,2.4,1019,Fault
76.37,1.4,1.93,1497,Fault
56.7,3.17,4.17,1073,Fault
73.6,2.0,3.35,953,Fault
40.0,2.47,0.61,1253,Warning
61.33,2.71,2.24,1676,Fault
28.38,2.31,2.35,1581,Warning
67.59,1.87,3.29,1201,Fault
57.4,2.7,2.7,1296,Fault
25.8,1.22,2.51,926,Warning
31.49,2.26,4.32,905,Fault
48.71,3.65,4.26,936,Fault
37.11,2.85,3.23,1390,Fault
34.7,1.7,2.56,1567,Warning
41.36,2.39,0.5,974,Warning
26.79,2.29,4.5,1119,Fault
31.97,1.21,4.05,1770,Fault
55.33,3.83,1.32,1664,Fault
57.46,1.43,4.43,1227,Fault
63.48,3.51,0.81,1743,Fault
39.98,3.9,2.06,1085,Fault
33.83,3.96,1.5,1303,Fault
54.87,2.41,2.29,1058,Warning
48.33,1.37,3.42,1185,Fault
35.79,1.62,2.66,1568,Warning
36.39,2.46,2.63,1577,Warning
27.95,3.26,1.46,897,Fault
68.33,0.41,0.74,1071,Fault
53.69,2.57,4.35,1195,Fault
49.25,1.28,3.94,1163,Fault
31.38,0.8,2.31,1636,Warning
42.05,3.08,3.81,841,Fault
42.49,2.75,0.89,820,Fault
69.32,0.12,4.41,1749,Fault
75.59,1.85,0.7,964,Fault
49.01,1.95,0.87,1254,Warning
47.2,2.0,1.63,1099,Warning
25.4,1.17,4.49,1662,Fault
62.33,0.15,3.49,1471,Fault
34.6,1.48,2.29,878,Warning
74.63,3.95,3.7,1160,Fault
31.97,1.35,4.07,1431,Fault
45.43,0.15,1.05,1009,Warning
35.49,1.95,2.48,1517,Warning
65.52,3.06,2.69,947,Fault
67.86,3.65,4.25,1633,Fault
61.29,0.49,3.43,1750,Fault
50.73,1.01,3.47,1574,Fault
39.94,0.65,4.43,1365,Fault
63.29,2.16,0.52,850,Fault
38.43,2.71,3.74,821,Fault
75.24,1.09,1.21,1367,Fault
72.58,0.69,1.68,1120,Fault
51.65,3.39,3.4,1749,Fault
34.28,2.4,2.88,970,Warning
58.55,1.86,1.69,884,Warning
53.2,0.64,1.07,1482,Warning
62.02,1.33,4.32,1765,Fault
36.59,2.44,1.75,1083,Warning
45.81,0.54,1.22,1157,Warning
37.05,1.89,3.21,1717,Fault
29.5,1.83,4.3,1441,Fault
30.9,1.4,3.8,1168,Fault
32.16,3.51,2.05,1410,Fault
64.07,2.34,1.08,1506,Fault
49.76,0.28,2.16,811,Warning
45.16,1.61,2.9,1470,Warning
46.86,2.19,3.43,1106,Fault
36.61,2.04,3.26,1515,Fault
52.2,0.3,2.74,1648,Warning
60.7,1.33,1.08,846,Fault
55.04,0.85,3.64,934,Fault
25.58,3.16,4.17,1039,Fault
53.21,2.14,3.03,837,Fault
73.55,2.44,4.43,972,Fault
28.49,0.3,3.8,1604,Fault
54.14,0.94,2.64,865,Warning
32.47,2.52,2.26,1113,Fault
62.15,0.35,0.64,1367,Fault
68.18,2.66,4.41,1715,Fault
33.91,3.95,3.61,1457,Fault
61.56,1.11,3.62,1629,Fault
43.95,2.52,1.82,1531,Fault
76.52,2.37,4.35,848,Fault
61.72,0.57,2.52,1217,Fault
47.22,2.12,3.93,961,Fault
36.77,3.04,2.45,1766,Fault
76.39,0.42,3.45,1719,Fault
51.17,2.25,0.83,1029,Warning
39.28,1.44,1.22,1129,Warning
59.27,0.89,1.28,1106,Warning
63.54,1.57,0.6,1333,Fault
61.04,3.74,2.45,1421,Fault
66.78,3.21,1.77,1454,Fault
29.66,3.13,4.39,1016,Fault
59.33,0.82,3.37,917,Fault
77.56,0.43,0.51,1568,Fault
30.51,3.42,3.86,948,Fault
70.31,3.5,3.07,1690,Fault
66.14,1.43,0.6,869,Fault
33.57,2.85,2.41,1289,Fault
69.47,0.59,3.21,923,Fault
39.33,1.08,4.38,834,Fault
